Date,User,Tweet
2022-12-28 01:52:36+00:00,Siantar72,Pak @musniumar @aniesbaswedan apakah perkataan bung @aniesbaswedan ini msh berlaku atsu tdk ? Cc @tatakujiyati @Mdy_Asmara1701 @BeiKhiar @mak_iyik @ElinaDio @Murdian09309315 @mangunsong63 @0202_dhimas @7dragonpower
2022-12-28 01:52:33+00:00,PallakaGO,"@abu_waras Masyarakat solo memberikan masukan berharga ke pak @aniesbaswedan agar sering2 ke Jateng dan Jatim, krn tingkat atau penerimaan masyarakat disana belum seperti daerah lain yg telah dikunjungi oleh pak Anies. Tetap semangat sosialisasi"
2022-12-28 01:52:10+00:00,IND_ONE_SIARAYA,"@adoer_psrahad @hayatur_rahman @BosPurwa @aniesbaswedan Implementasinya sdh dijelaskan itu, lu tuli sih"
2022-12-28 01:52:04+00:00,donyzielinski,"Anies Baswedan bangsat permainkan publik!! 

#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/tEZWqhgCTg"
2022-12-28 01:50:57+00:00,m4c4n025,"@BosPurwa @aniesbaswedan Mashaa Allaah tabarokallah 
Panjang umur perjuangan"
2022-12-28 01:50:45+00:00,putri_Aalona,"@LikeEarth43351 @aniesbaswedan @NasDem Untuk mendapatkan yg maksimal adakalanya yg dikorbankan salah satunya DKI Jakarta yg sdh rusak di buat Anies,dgn begitu Tuhan pun menunjukkan sebagai gantinya pak heru yg begitu bijaksana dlm menangani DKI Jakarta dlm waktu yg singkat, kiranya kedepan DKI kembali pulih 🙏"
2022-12-28 01:49:14+00:00,teknoiot,"https://t.co/lUoVH6dWMT

#aniesbaswedan"
2022-12-28 01:48:38+00:00,ewidianto456,@petruspasaribuu @aniesbaswedan @prabowo @Gerindra Goblok kabeh
2022-12-28 01:48:27+00:00,GosongSego,@pandawinata__ @HelmiFelis_ @aniesbaswedan Dr mana anda dpt pikiran spt itu. Dr polling terbuka aj lbh banyak yg pikih anies dr pd ganjar atau bacapres lainnya. Anda jgn di tempurung kelaa aj. Sekali2 buka pikiran anda dan wawasan anda.
2022-12-28 01:48:26+00:00,Sejatiningurip5,@Gr4sssss @khojan_x_x @BosPurwa @aniesbaswedan LU TOLOL APA DONGO SIH AJG
2022-12-28 01:48:21+00:00,corokandangrusa,"Yg salah pasti Anies Baswedan yakan bong

Haaahhha @Uki23 @ch_chotimah2 @Dennysiregar7 @Miduk17 @SantorinisSun"
2022-12-28 01:47:59+00:00,chardolbra,"@petruspasaribuu @aniesbaswedan @prabowo @Gerindra Haha, sepertinya masuk deh si ...... dan Partai ...... ati2 lah kelen di bohongin..😂"
2022-12-28 01:46:33+00:00,GeryNelwan,"Anies kinerjanya bobrok hancur berantakan
- Tolak Anies Baswedan -
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/dNLXpERnGb"
2022-12-28 01:46:25+00:00,GeryNelwan,"Anies radikal dan diperbudak kelompok terlarang
- Tolak Anies Baswedan -
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/tJMO9NgKeZ"
2022-12-28 01:46:17+00:00,GeryNelwan,"Anies seorang yang intoleran dan radikal
- Tolak Anies Baswedan -
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/F68jF8qWyx"
2022-12-28 01:46:09+00:00,GeryNelwan,"Anies manusia perusak dan pembawa bencana bagi NKRI
Tolak Anies Baswedan
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/SbIOoNs6rj"
